decade1;count1;decade2;count2;decade3;
René Froger;62;Gordon;0;Damaru;2
André Hazes;100;De Poema's;14;Jan Smit;
Gerard Joling;50;De Boswachters;2;Diggy Dex;25
Het Goede Doel;44;De Kast;;Eva De Roovere;36
André van Duin;92;Marco Borsato;;K3;
De Dijk;100;Frans Bauer;;Marco Borsato;
Hepie en Hepie;0;Corry Konings;;Bløf;
Corry Konings;76;Bløf;;Guus Meeuwis;
Clouseau;100;Ruth Jacott;61;Dio;0
Marco Borsato;100;Extince;20;Sef;52
Henk Wijngaard;19;Abel;0;Nick & Simon;
Cees Tol;0;Jop;0;The Opposites;0
Brigitte Kaandorp;25;PostMen;0;Gers Pardoel;55
Mannenkoor Karrespoor;1;Def Rhymz;10;3Js;43
Raymond v/h Groenewoud;0;Osdorp Posse;54;Ellen ten Damme;18
Gordon;0;Doe Maar;94;De Jeugd van Tegenwoordig;
Pater Moeskroen;97;Slimme Schemer;1;Acda & De Munnik;
Hanny;0;Tido;0;Lange Frans;
Stef Bos;100;K3;100;Thé Lau;0
Paul de Leeuw;100;Brainpower;50;The Partysquad;35
Willeke Alberti;8;Ties;0;Do;
Marianne Weber;32;Raymtzer;1;Nielson;46
Ruth Jacott;61;Veldhuis & Kemper;23;Doe Maar;
Vera Mann;0;Tooske Breugem;0;Glennis Grace;51
Ronald;0;Bastiaan Ragas;1;Gerard Joling;
De Jazzpolitie;0;Ali B;64;Wolter Kroes;23
Annie De Rooij;0;Do;0;Racoon;96
De Dikke Lul Band;1;Lange Frans;90;Miss Montreal;63
Nico Landers;0;Baas B;6;Bakermat;23
Frans Bauer;100;Guus Meeuwis;;Maaike Ouboter;24
Guus Meeuwis;100;De Jeugd van Tegenwoordig;;De Kraaien;21
Danny Lukassen;0;Snappie;2;Trijntje Oosterhuis;0
De Sjonnies;14;Jan Smit;1;Jayh;41
Ome Henk;7;Kus;0;Kenny B;18
Linda, Roos & Jessica;3;Brace;9;Lil' Kleine;46
Marcel de Groot;0;Guillermo;0;Ronnie Flex;85
Rob de Nijs;100;Tropical Danny;0;Anouk;100
Simone Kleinsma;0;IsookSchitterend!;;Broederliefde;67
Fluitsma & Van Tijn;1;Jeroen van der Boom;48;Frenna;42
Demis;0;André Hazes;;Boef;57
Jiskefet;4;Gerard Joling;;Jebroer;41
Hakkûhbar;9;Nick & Simon;100;Kraantje Pappie;70
Tim Immers;0;Roxeanne Hazes;14;Maan;22
Trijntje Oosterhuis;0;Rene Froger;;Davina Michelle;3
Katja Schuurman;0;Wolter Kroes;23;Bizzey;33
Freek de Jonge;24;Coole Piet;2;Esko;18
Hero;0;Erik Hulzebosch;0;Josylvio;56
De Kast;83;Yes-R;49;Chef'Special;49
Jantje Smit;0;Trijntje Oosterhuis;0;Ali B;
Dj Madman;1;;;;
Isookschitterend!;6;;;;
Gabber Piet;0;;;;
Hans Kraay jr.;0;;;;
O Die 3;0;;;;
Acda en De Munnik;100;;;;
Henk Westbroek;44;;;;
Volumia!;41;;;;
Bløf;100;;;;
Frank & Ronald;0;;;;
;;;;;
;;;;;
;1905;;839;;1361
;;;;;
;4105;;;;