Artist;Anger;Negate;Negemo;Optim;Posemo;Posfeel;Sad;Swear
Jayh;0.0029199922133540976;0.010966192979040943;0.015054182077736681;0.0007786645902277593;0.016092401531373694;0.008046200765686847;0.0045422101096619285;0.0016871066121601453
Volumia!;0.0021468926553672315;0.01401129943502825;0.01807909604519774;0.004632768361581921;0.03073446327683616;0.01774011299435028;0.00847457627118644;0.0005649717514124294
JanSmit&Broederliefde;0.0033333333333333327;0.006666666666666667;0.01;0.0;0.013333333333333334;0.005;0.005;0.0016666666666666668
PauldeLeeuw;0.0028366676619886533;0.013436846819946252;0.020117945655419533;0.002762018512988952;0.020453866825918186;0.008472678411466109;0.00906987160346372;0.00014929829799940284
Yes-R;0.006880275211008441;0.010400416016640664;0.021480859234369376;0.002920116804672187;0.015200608024320971;0.003480139205568223;0.006080243209728389;0.003480139205568223
Clouseau;0.0024864916559078085;0.012049921101707071;0.02347821928943719;0.0036819203366327173;0.022760962081002246;0.008798355090135322;0.011141395304356145;0.00014345144168698896
DavinaMichelle;0.007389162561576354;0.0049261083743842365;0.027093596059113302;0.0;0.007389162561576354;0.007389162561576354;0.007389162561576354;0.0024630541871921183
ReneFroger;0.0023961661341853034;0.02156549520766773;0.02256389776357828;0.004792332268370607;0.03154952076677316;0.021166134185303515;0.01597444089456869;0.00019968051118210864
Isookschitterend!;0.001669449081803005;0.01335559265442404;0.015025041736227047;0.001669449081803005;0.02086811352253756;0.007512520868113524;0.009181969949916527;0.0
AliB;0.005151983513652756;0.009498969603297271;0.016550747037609483;0.0023183925811437398;0.013491756826378156;0.0029945904173106644;0.004507985574446162;0.0011269963936115404
CorryKonings;0.002218770800976259;0.014569928259744102;0.027956512092300864;0.0041417054951556845;0.027290880852007992;0.015235559500036982;0.017010576140817985;0.0
Frenna;0.0040226921093347075;0.0057246003094378545;0.013512119649303765;0.0008767405879319237;0.007787519339865909;0.0031975244971634864;0.002423929860752965;0.0007220216606498196
KennyB;0.000894054537326777;0.006109372671732976;0.010281627179257936;0.002235136343316942;0.014304872597228431;0.007152436298614216;0.003278199970198182;0.0
DeSjonnies;0.003151515151515152;0.012363636363636365;0.013818181818181818;0.0014545454545454545;0.02012121212121212;0.004848484848484849;0.007272727272727274;0.0004848484848484848
PaterMoeskroen;0.002482856467249941;0.011409316623315204;0.013833057460392529;0.0011231969732797352;0.015961220146606763;0.00425632537242847;0.004138094112083235;0.0002955781508630882
Sef;0.0029590327024131427;0.007703688587316973;0.0163256976684863;0.0012244273251364724;0.01474414570685169;0.005305851742258048;0.005560940768328146;0.0010713739094944136
StefBos;0.003502461188943582;0.011785308595229079;0.02224536160545248;0.0014672472548277167;0.014530480878455132;0.00473305566073457;0.009797425217720559;0.0004259750094661113
LangeFrans;0.006490621915103653;0.009106614017769002;0.018460019743336626;0.00384995064165844;0.018040473840078973;0.005256663376110564;0.0040967423494570575;0.002492596248766041
DeKraaien;0.003903635958063797;0.01215703769797011;0.010149453490965871;0.0005576622797233995;0.0227526210127147;0.0014499219272808388;0.0026767789426723177;0.0021191166629489183
WillekeAlberti;0.0012626262626262627;0.017676767676767676;0.02083333333333333;0.0006313131313131314;0.027146464646464648;0.013257575757575758;0.011994949494949494;0.0
Extince;0.0044438548782914375;0.007295881143463555;0.013862174172580751;0.0020561119586124557;0.01293360748159448;0.0011275452676261855;0.003316309610665252;0.0007959143065596604
DoeMaar;0.002829931972789116;0.01491156462585034;0.02106122448979592;0.0011972789115646258;0.014040816326530613;0.003156462585034013;0.00908843537414966;0.002285714285714286
RobDeNijs;0.0023741040040177143;0.012235766789937451;0.01702963064420399;0.003561156006026572;0.019038487878372826;0.006437474318586495;0.0074875587819020215;4.565584623110989e-05
MarcoBorsato;0.0015983725661145017;0.011333914559721013;0.01869611547030902;0.004746682166037005;0.029061319383900032;0.015160321611934513;0.01012302625205851;4.8435532306500046e-05
Nick&Simon;0.002294831165992788;0.010272101409682002;0.014788911958620187;0.003023348996466689;0.015990966378902124;0.0065930863657888035;0.007139474738644228;3.6425891523695035e-05
KraantjePappie;0.0048274530357783245;0.00766875396540785;0.015089238917547104;0.0048274530357783245;0.017240903699208297;0.004358500455159857;0.002868886375548261;0.002951642713304461
HetGoedeDoel;0.004601371020753122;0.01746642877265471;0.024791060193445395;0.0021598272138228947;0.019156728331298712;0.008169781200112686;0.011832096910508029;9.3905531035778e-05
Nielson;0.0029034436191762323;0.010938555030384874;0.012761647535449021;0.0031060094530722484;0.01991897366644159;0.006482106684672519;0.004253882511816341;0.0008102633355840649
Hakkûhbar;0.013750592697961118;0.006164058795637743;0.017543859649122806;0.0;0.01469890943575154;0.0;0.001422475106685633;0.0018966334755808442
Raymtzer;0.011570247933884295;0.003305785123966942;0.021487603305785124;0.003305785123966942;0.014876033057851241;0.001652892561983471;0.006611570247933884;0.004958677685950414
DJMadman;0.0;0.0016051364365971107;0.03531300160513644;0.014446227929373997;0.05136436597110754;0.02568218298555377;0.0016051364365971107;0.0
FreekdeJonge;0.005207328833172613;0.01022179363548698;0.026229508196721308;0.004243008678881389;0.020057859209257477;0.007135969141755062;0.007135969141755062;0.0011571841851494694
RonnieFlex;0.004160363086232979;0.009164436168974749;0.012888397532875595;0.0021529151635051786;0.009135342720819272;0.0018037937856394738;0.004305830327010357;0.002182008611660654
MarianneWeber;0.0022837184309511017;0.013164965072541644;0.026732939279957013;0.0024180548092423426;0.0400322407307899;0.02256851155292853;0.017598065556152606;0.0
K3;0.0020654462983962416;0.00716831362384578;0.01133970516766564;0.0018224526162319782;0.025919326097521463;0.010408229386035963;0.004211890490847238;0.0
Josylvio;0.002224592412006705;0.010757275636142007;0.011336279140636904;0.0010665854030169131;0.007466097821118391;0.0023769617552948353;0.004083498400121895;0.0011275331403321652
OmeHenk;0.00387382401770891;0.011068068622025456;0.018262313226342003;0.0016602102933038186;0.006640841173215274;0.0005534034311012729;0.0016602102933038186;0.0
DeDijk;0.0027919514778087995;0.014104168672378938;0.018436507172427074;0.0015403870222393376;0.0193029748724367;0.005632040050062578;0.008327717338981421;0.00028882256666987584
Brainpower;0.007436007436007437;0.00960960960960961;0.02090662090662091;0.0023166023166023165;0.013613613613613613;0.004032604032604033;0.0052052052052052045;0.003632203632203632
AcdaenDeMunnik;0.002253098009763425;0.011223766011599282;0.020736846497267074;0.003171026828555931;0.02641131555889348;0.011265490048817123;0.00938790837401427;0.0002920682605248884
OsdorpPosse;0.011244348338903086;0.012030666404560644;0.026263023392962454;0.002162374680558286;0.016434047572242972;0.003656379005307647;0.00530764694318852;0.005386278749754276
AndréVanDuin;0.0011297114100852418;0.00866112081065352;0.01027010372804765;0.0007531409400568279;0.016945671151278627;0.004484611961247475;0.003936873095751601;3.4233679093492176e-05
Esko;0.002973712382538361;0.010824313072439634;0.009991673605328892;0.00107053645771381;0.006661115736885929;0.0017842274295230163;0.002378969906030689;0.00214107291542762
Jiskefet;0.002333722287047841;0.004667444574095682;0.01750291715285881;0.0;0.040840140023337225;0.005834305717619603;0.009334889148191364;0.0
HenkWestbroek;0.00448601698959626;0.020998377398110148;0.020902930228118736;0.0024816264197766533;0.02691610193757755;0.008113009449269829;0.008017562279278419;0.0
MaaikeOuboter;0.0017510068289266331;0.006303624584135878;0.01698476624058834;0.002976711609175276;0.017334967606373666;0.0059534232183505505;0.0066538259499212046;0.00017510068289266332
RuthJacott;0.00178903678259625;0.011235150994704452;0.0191784743094318;0.004866180048661801;0.0236152855302705;0.00894518391298125;0.00894518391298125;0.0
Henkwijngaard;0.0014976465554129225;0.0094137783483098;0.01433461703038083;0.003423192126658109;0.013906718014548566;0.0040650406504065045;0.006204535729567822;0.0006418485237483952
BrigitteKaandorp;0.007935138864930136;0.01811281697429705;0.02173538036915646;0.0008625150940141452;0.013455235466620663;0.00362256339485941;0.006900120752113162;0.0010350181128169745
GerardJoling;0.0008299903167796375;0.011066537557061834;0.02130308479734403;0.0037349564255083688;0.031401300318162954;0.015493152579886569;0.010098215520818923;0.0
DeBoswachters;0.003929273084479371;0.06286836935166994;0.003929273084479371;0.0;0.0;0.0;0.0;0.0
SlimmeSchemer;0.0;0.0019493177387914231;0.006822612085769979;0.0009746588693957113;0.0029239766081871343;0.0;0.0019493177387914231;0.0
JeroenVanDerBoom;0.002649963864129125;0.017024010278647715;0.020236087689713318;0.0035332851521721674;0.024732996065205168;0.010680157391793142;0.008672609009877139;0.0
GlennisGrace;0.0020530048525569237;0.013251213139231057;0.02500933184023889;0.003919372900335946;0.021649869354236656;0.008025382605449796;0.014557670772676373;0.0001866368047779022
AndréHazes;0.001999818198345605;0.01490773566039451;0.0191800745386783;0.0025452231615307693;0.023679665484955915;0.009499136442141624;0.010862648850104536;9.09008271975275e-05
Lil'Kleine;0.005048057507471125;0.010015346094822712;0.017607624586059283;0.001938454082868912;0.015628786043130602;0.00605766900896535;0.005411517648009046;0.001898069622809143
Bizzey;0.0019643396796615287;0.007630704140223632;0.02138108189785434;0.0007555152614082803;0.015185856754306438;0.0019643396796615287;0.0018887881535207007;0.002266545784224841
GersPardoel;0.001968684186429814;0.010392821170222506;0.02110612581265452;0.0023807343649848915;0.016390440435857526;0.004715685376796996;0.014467539602600497;0.0005494002380734365
BLØF;0.002327935222672065;0.015941295546558706;0.01589068825910931;0.00465587044534413;0.02019230769230769;0.005819838056680161;0.005617408906882591;0.00010121457489878542
Brace;0.004248088360237893;0.0118946474086661;0.023506088926649675;0.002548853016142736;0.02124044180118946;0.004531294250920419;0.007646559048428207;0.0033984706881903144
WolterKroes;0.0013543253766717454;0.01675977653631285;0.019807008633824275;0.003216522769595395;0.03064161164719824;0.016929067208396816;0.008125952260030472;0.0
EvaDeRoovere;0.0055529847292919935;0.008329477093937991;0.02336881073577048;0.0027764923646459968;0.021749190189726982;0.00971772327626099;0.006247107820453493;0.0
MissMontreal;0.002400960384153661;0.0;0.020408163265306117;0.01680672268907563;0.0312124849939976;0.006002400960384154;0.014405762304921969;0.0012004801920768304
DePoema's;0.0032993401319736052;0.02369526094781044;0.02609478104379124;0.0026994601079784047;0.024595080983803242;0.007498500299940013;0.010797840431913616;0.0
DiggyDex;0.0024495312104062844;0.009122392093926852;0.014274854295126278;0.007939859785454853;0.023988512543289132;0.005490328575048569;0.00506799560773714;0.0009291325280851424
Maan;0.0;0.011409642988590356;0.020242914979757085;0.002208317997791682;0.0180345969819654;0.00883327199116673;0.01361796098638204;0.0
Jebroer;0.0037583892617449664;0.011208053691275168;0.019194630872483225;0.0022147651006711407;0.012885906040268456;0.00436241610738255;0.0051677852348993285;0.0008724832214765099
Broederliefde;0.003465675945436398;0.008761228790063214;0.015304424975047134;0.0014139957857380505;0.009925695907729844;0.003160696462237995;0.003493401352999889;0.001081290894976156
Boef;0.004824344383968332;0.011009401286491836;0.01456580900544285;0.001979218208807521;0.012833993072736269;0.0020719940623453734;0.0033090054428500737;0.001793666501731816
Veldhuis&Kemper;0.005874169114237131;0.015922089967537488;0.019013757922399132;0.0024733343638893178;0.024115010047920854;0.006647086102952543;0.005874169114237131;0.001545833977430824
RoxeanneHazes;0.0031625553447185324;0.015812776723592662;0.02024035420619861;0.005376344086021507;0.021821631878557873;0.005692599620493359;0.009487666034155596;0.001265022137887413
DefRhymz;0.004597197898423818;0.012040280210157616;0.01576182136602452;0.0010945709281961473;0.029115586690017518;0.008318739054290718;0.0028458844133099825;0.001970227670753065
ThePartysquad;0.013749787811916485;0.0047530130707859435;0.019266677983364452;0.0005941266338482429;0.009421150908164998;0.001867255134951621;0.001867255134951621;0.012476659310813105
EllentenDamme;0.004809794490599038;0.02273721031919545;0.021862702229995628;0.010931351114997814;0.034980323567993;0.011368605159597726;0.009182334936598164;0.00043725404459991256
3js;0.003003566735498405;0.007978224141167637;0.0186784306363807;0.006570302233902759;0.029284775671109438;0.012483574244415242;0.006570302233902759;9.386146048432514e-05
DeKast;0.0019905999447055573;0.013270666298037049;0.013160077412220072;0.003428255460326237;0.01680951064418026;0.0049764998617638926;0.005031794304672379;5.529444290848771e-05
Linda,Roos&Jessica;0.001557632398753894;0.037383177570093455;0.020249221183800625;0.00778816199376947;0.03582554517133956;0.018691588785046728;0.010903426791277258;0.0
Fluitsma&VanTijn;0.0;0.018726591760299626;0.011235955056179777;0.003745318352059925;0.011235955056179777;0.003745318352059925;0.003745318352059925;0.0
BaasB;0.0053431976983148366;0.007398273736128238;0.011508425811755036;0.0016440608302507194;0.009453349773941636;0.00041101520756267986;0.002877106452938759;0.004932182490752158
GuusMeeuwis;0.0017030430690628785;0.013624344552503026;0.015013669161475372;0.003092367678035226;0.02778649217944696;0.012369470712140904;0.008201496885223859;4.481692287007574e-05
FransBauer;0.002407910241303345;0.014242532916645319;0.0247451201393514;0.002920231569240228;0.03166145806649931;0.018187407141759312;0.01767508581382243;0.0
