decade1;decade2;decade3
René Froger;De Poema's;Damaru
André Hazes;De Boswachters;Jan Smit
Gerard Joling;De Kast;Diggy Dex
Het Goede Doel;Marco Borsato;Eva De Roovere
André van Duin;Frans Bauer;K3
De Dijk;Corry Konings;Marco Borsato
Corry Konings;Bløf;Bløf
Clouseau;Ruth Jacott;Guus Meeuwis
Marco Borsato;Extince;Sef
Henk Wijngaard;Def Rhymz;Nick & Simon
Brigitte Kaandorp;Osdorp Posse;The Opposites
Mannenkoor Karrespoor;Doe Maar;Gers Pardoel
Pater Moeskroen;Slimme Schemer;Jan Smit
Stef Bos;K3;3Js
Paul de Leeuw;Brainpower;Ellen ten Damme
Willeke Alberti;Raymtzer;De jeugd van tegenwoordig
Marianne Weber;Veldhuis & Kemper;Acda & De Munnik
Ruth Jacott;Bastiaan Ragas;Lange Frans
De Dikke Lul Band;Ali B;Thé Lau
Frans Bauer;Lange Frans;The Partysquad
Guus Meeuwis;Baas B;Nielson
De Sjonnies;Guus Meeuwis;Doe Maar
Ome Henk;de jeugd van tegenwoordig;Glennis Grace
Linda, Roos & Jessica;Snappie;Gerard Joling
Rob de Nijs;Jan Smit;Wolter Kroes
Fluitsma & Van Tijn;Brace;Racoon
Jiskefet;IsookSchitterend;Miss Montreal
Hakkûhbar;Jeroen van der Boom;Bakermat
Freek de Jonge;André Hazes;Maaike Ouboter
De Kast;Gerard Joling;De Kraaien
Dj Madman;Nick & Simon;Trijntje Oosterhuis
Isookschitterend!;Roxeanne;Jayh
Acda en De Munnik;Rene Froger;Kenny B
Henk Westbroek;Wolter Kroes;Lil' Kleine
Volumia!;Coole Piet;Ronnie Flex
Bløf;Yes-R;Anouk
;;Broederliefde
;;Frenna
;;Boef
;;Jebroer
;;Kraantje Pappie
;;Maan
;;Davina Michelle
;;Bizzey
;;Esko
;;Josylvio
;;Chef'Special
;;Ali B